Event,Site,UTCDate,UTCTime,White,Black,Result,WhiteElo,BlackElo,TimeControl,Termination,PlyCount,MoveCount
Rated Bullet game,https://lichess.org/imbB2Tz3,2025.12.01,00:00:12,kva888,DREDD_7873,1-0,1210,1212,60+0,Normal,55,28
Rated Bullet game,https://lichess.org/owvcO9n3,2025.12.01,00:00:12,GabiBuruiana,Jere_Laborde,0-1,2155,2185,60+0,Normal,108,54
Rated Bullet game,https://lichess.org/X9qt8YCH,2025.12.01,00:00:12,Sametosan,oscaroscar007,1/2-1/2,1631,1645,60+0,Normal,90,45
Rated Bullet game,https://lichess.org/F1xobiSs,2025.12.01,00:00:12,Tiborka2,FractalGaming,1-0,2207,2188,60+0,Time forfeit,61,31
Rated Bullet game,https://lichess.org/dTtTy0pZ,2025.12.01,00:00:12,Pandermiko21,SNHEIDER10,0-1,2036,2062,60+0,Time forfeit,60,30
Rated Blitz game,https://lichess.org/tHhDWwE0,2025.12.01,00:00:12,manjugpo,katip123,1-0,1176,1260,180+0,Normal,31,16
Rated Bullet game,https://lichess.org/ZqRd9lGg,2025.12.01,00:00:12,drjaider,stvnorg,0-1,2024,2031,60+1,Normal,76,38
Rated Bullet game,https://lichess.org/7d84XCDE,2025.12.01,00:00:12,LeoChessi,jmanchola,0-1,1725,1702,60+0,Time forfeit,64,32
Rated Blitz tournament https://lichess.org/tournament/LptmKomd,https://lichess.org/si0i0SB6,2025.12.01,00:00:12,roseca58,AsgerdNoriega,0-1,1680,1587,180+0,Time forfeit,100,50
Rated Blitz tournament https://lichess.org/tournament/LptmKomd,https://lichess.org/sJmzPmRm,2025.12.01,00:00:12,mitrich70,RdColtt,0-1,1920,1756,180+0,Time forfeit,86,43
Rated Blitz tournament https://lichess.org/tournament/LptmKomd,https://lichess.org/wXcVaNXK,2025.12.01,00:00:12,awewe,yoseffprada,0-1,1524,1646,180+0,Time forfeit,48,24
Rated Bullet game,https://lichess.org/C7H0C5kO,2025.12.01,00:00:12,UcheBobby,PalomaCh,1-0,1957,1537,120+0,Normal,79,40
Rated Blitz game,https://lichess.org/x3b0ChhQ,2025.12.01,00:00:13,chessbryk,jonnathan1amzn,0-1,2132,2257,300+0,Normal,46,23
Rated Blitz game,https://lichess.org/1v6JBfkB,2025.12.01,00:00:13,andyreinacastro,axel25,0-1,1556,1581,300+0,Normal,114,57
Rated Bullet game,https://lichess.org/BZB3jdfD,2025.12.01,00:00:04,EyoThePogi2,lawrence1987,1-0,2061,2164,60+0,Time forfeit,103,52
Rated Bullet game,https://lichess.org/DjJiZhVX,2025.12.01,00:00:04,qemal_98,Enico99,0-1,1266,1269,120+1,Normal,52,26
Rated Blitz game,https://lichess.org/p4h30VRL,2025.12.01,00:00:04,Arthur_Herrera,kingedward25,1-0,1438,1466,300+0,Normal,69,35
Rated Blitz game,https://lichess.org/SWa7kQgb,2025.12.01,00:00:04,rainyday2023,Cepqey,1-0,1720,1716,300+0,Normal,71,36
Rated Blitz game,https://lichess.org/EUIsQrsS,2025.12.01,00:00:04,djor,eyalcohen,0-1,1479,1469,300+0,Normal,48,24
Rated Blitz game,https://lichess.org/RLOW6Ysg,2025.12.01,00:00:04,EmeeChuck,bhin_thads,1-0,1250,1219,300+0,Time forfeit,81,41
Rated Blitz game,https://lichess.org/DgnjTlR5,2025.12.01,00:00:04,Beraturtle,Selafendi542,0-1,1299,1419,300+0,Normal,54,27
Rated Blitz game,https://lichess.org/tSjEX30b,2025.12.01,00:00:04,oscarvacario,Lovesupreme,1-0,2074,1921,300+0,Normal,40,20
Rated Blitz game,https://lichess.org/1oYRzWPL,2025.12.01,00:00:04,zazagames,ainefrosh,1-0,1167,1213,300+0,Time forfeit,59,30
Rated Blitz game,https://lichess.org/UkNxm8S4,2025.12.01,00:00:04,Sasistatistician,OsipovaMarina,1-0,1105,1095,300+0,Normal,29,15
Rated Blitz game,https://lichess.org/c7GJbdYQ,2025.12.01,00:00:04,LuniByte,MrCrow26,1/2-1/2,1133,1129,300+0,Normal,131,66
Rated Blitz game,https://lichess.org/2Nnp0lMh,2025.12.01,00:00:04,death2kings1312,CountVorduum,1-0,560,676,300+0,Normal,67,34
Rated Blitz game,https://lichess.org/mRqiTrTp,2025.12.01,00:00:04,sheyytann1,e2_e4omg,1-0,1150,1133,300+0,Time forfeit,33,17
Rated Blitz game,https://lichess.org/qSDRdeSI,2025.12.01,00:00:04,Herold87,Folk1991,1/2-1/2,716,870,300+0,Normal,48,24
Rated Blitz game,https://lichess.org/4yRjlymY,2025.12.01,00:00:04,aytac23,sayadboby,1-0,1876,1840,300+0,Normal,53,27
Rated Blitz game,https://lichess.org/8VYkTFTR,2025.12.01,00:00:04,Auxetic,keylasf,1-0,982,1044,300+0,Time forfeit,41,21
Rated Blitz game,https://lichess.org/KYuCpdEW,2025.12.01,00:00:04,Pak007,ExpiredKetchup,0-1,1631,1599,300+0,Normal,44,22
Rated Blitz game,https://lichess.org/H5TipMrb,2025.12.01,00:00:04,TheFull,rubiocas,1/2-1/2,1751,1822,300+0,Normal,68,34
Rated Blitz game,https://lichess.org/O1zUZs6X,2025.12.01,00:00:04,SilverioTrujillo,alexqem,1-0,1545,1554,300+0,Normal,71,36
Rated Blitz game,https://lichess.org/qD5w9Emh,2025.12.01,00:00:04,Mwas2010,Nelson191445,1-0,1257,1272,300+0,Normal,53,27
Rated Blitz game,https://lichess.org/sEp9taI8,2025.12.01,00:00:04,O12-_20220,GK_Bhat,0-1,1757,1727,300+0,Normal,52,26
Rated UltraBullet game,https://lichess.org/EtXfLYqg,2025.12.01,00:00:04,penguin-000,QueenMaster77,1-0,1659,1580,15+0,Time forfeit,41,21
Rated Blitz game,https://lichess.org/jF9ykAHf,2025.12.01,00:00:04,JJeenniiAA,siwyJLB,1-0,1543,1568,180+0,Normal,57,29
Blitz swiss https://lichess.org/swiss/YLUsPGBw,https://lichess.org/QbIXrVfp,2025.12.01,00:00:05,CesarMogBar,Braziljr1,0-1,1407,1946,240+0,Normal,114,57
Blitz swiss https://lichess.org/swiss/YLUsPGBw,https://lichess.org/RKd766NK,2025.12.01,00:00:05,rocato,Sergiomeira8,1-0,2004,1776,240+0,Normal,69,35
Blitz swiss https://lichess.org/swiss/YLUsPGBw,https://lichess.org/jzXvrMvU,2025.12.01,00:00:05,Donaldtrampa,RZAKO,0-1,1917,2018,240+0,Normal,138,69
Blitz swiss https://lichess.org/swiss/YLUsPGBw,https://lichess.org/3XHWgXZe,2025.12.01,00:00:05,MiroBarbosa,capapreta999,1-0,2030,1921,240+0,Time forfeit,107,54
Blitz swiss https://lichess.org/swiss/YLUsPGBw,https://lichess.org/0rBembbX,2025.12.01,00:00:05,almes,CCapivara,1-0,1938,2126,240+0,Normal,75,38
Rated Blitz game,https://lichess.org/H2r3HV4f,2025.12.01,00:00:05,THEFOREVERER,El_Scopolamine,1-0,1248,1253,180+0,Time forfeit,53,27
Rated Bullet game,https://lichess.org/IKF2fW2x,2025.12.01,00:00:05,WoWdeer42,bullery,1-0,1561,1569,120+1,Normal,41,21
Rated Bullet game,https://lichess.org/AynXMFnx,2025.12.01,00:00:05,dmecham11,nmagko,0-1,1557,1533,120+1,Normal,168,84
Rated Bullet game,https://lichess.org/3ihWkTFl,2025.12.01,00:00:05,oneshoot09,mehdidabir9,0-1,1854,1849,120+1,Time forfeit,82,41
Rated Bullet game,https://lichess.org/aFEhHfRZ,2025.12.01,00:00:05,The-Troubadour,Fatcat1984,0-1,1436,1481,120+1,Normal,26,13
Rated Bullet game,https://lichess.org/goDpnKVj,2025.12.01,00:00:05,CatalanShannon,chessprototype,0-1,1577,1577,120+1,Normal,60,30
Rated Bullet game,https://lichess.org/z128Eq5j,2025.12.01,00:00:05,Albrecht44,Galaz,1-0,1587,1577,120+1,Time forfeit,67,34
Rated Bullet game,https://lichess.org/JwsbppEM,2025.12.01,00:00:05,KmPeon,kblosky,0-1,1522,1526,120+1,Time forfeit,54,27
Rated Bullet game,https://lichess.org/Ps0rSJrE,2025.12.01,00:00:05,Oksik007,IrvingSanchezUtp,0-1,1724,1656,120+1,Normal,68,34
Rated Bullet game,https://lichess.org/t85embf6,2025.12.01,00:00:05,monu86bansal,Norbchin,1-0,1486,1521,120+1,Time forfeit,53,27
Rated Bullet game,https://lichess.org/1fUKnfgB,2025.12.01,00:00:05,thepresidente,HeXcutor,1-0,1653,1629,120+1,Normal,43,22
Rated Bullet game,https://lichess.org/ingjo96D,2025.12.01,00:00:05,JuKo_SVK,ariyan_sharifi_1994,0-1,1734,1730,120+1,Normal,84,42
Rated Bullet game,https://lichess.org/ovJx949B,2025.12.01,00:00:05,MagroBenis,navas7,1-0,1671,1692,120+1,Normal,101,51
Rated Bullet game,https://lichess.org/vwMtQvjg,2025.12.01,00:00:05,MightySan,darkwire,1-0,1907,1835,120+1,Time forfeit,77,39
Rated Bullet game,https://lichess.org/sw3nCUvN,2025.12.01,00:00:05,Al-J,Valdespina,0-1,2464,2484,60+0,Normal,60,30
Rated Blitz game,https://lichess.org/n5xlFQzb,2025.12.01,00:00:05,Rizkiya_Alvi,magnyan,1-0,1948,1930,180+0,Normal,67,34
Rated Blitz game,https://lichess.org/M7IrvbhJ,2025.12.01,00:00:06,UsernameInUseAlready,kraelo4PF,1-0,1759,1782,180+0,Normal,38,19
Rated Blitz game,https://lichess.org/VNPSjSKi,2025.12.01,00:00:06,cihanq15,pmotta90,0-1,1163,1171,180+0,Time forfeit,96,48
Rated Blitz game,https://lichess.org/7MPH1Lfc,2025.12.01,00:00:06,Sergey----87,AbdElrahman47158,0-1,1175,1961,180+0,Normal,30,15
Rated Blitz game,https://lichess.org/cvV20TVL,2025.12.01,00:00:06,Joshie21,esterstark,0-1,1495,1556,180+0,Normal,29,15
Rated Blitz game,https://lichess.org/38yesFYC,2025.12.01,00:00:06,rbb24,unnoo,1-0,1205,1300,180+0,Normal,37,19
Rated Blitz game,https://lichess.org/7mawbOOK,2025.12.01,00:00:06,TimotheeChamomille,MasterRamil,1-0,2102,2084,180+0,Normal,57,29
Rated Blitz game,https://lichess.org/QaMVyPFg,2025.12.01,00:00:06,Anneo,mattl67,1-0,1478,1475,180+0,Time forfeit,53,27
Rated Blitz game,https://lichess.org/J1TTjLyG,2025.12.01,00:00:06,Brischniak,Chesslirzz,0-1,1806,1803,180+0,Normal,74,37
Rated Blitz game,https://lichess.org/FSODJu9l,2025.12.01,00:00:06,AlvaroFunes,TheBloody9,1/2-1/2,1947,1908,180+0,Normal,58,29
Rated Blitz game,https://lichess.org/FjeosOpE,2025.12.01,00:00:06,Aburcuburcuburcu,demianmaisie,0-1,1696,1679,180+0,Normal,70,35
Rated Blitz game,https://lichess.org/3bnXXynw,2025.12.01,00:00:06,BeforAfter,Lagavulin26,1/2-1/2,2112,2121,180+0,Normal,114,57
Rated Blitz game,https://lichess.org/TGLVA6ld,2025.12.01,00:00:06,kh_2490,mustafa_elsied,0-1,1670,1670,180+0,Normal,42,21
Rated Blitz game,https://lichess.org/Qp7ZzbnJ,2025.12.01,00:00:06,horyn,firebreathingpoptart,0-1,1610,1643,180+0,Normal,48,24
Rated Blitz game,https://lichess.org/2l8BYhmz,2025.12.01,00:00:06,sergal999,ahmadhak,1-0,1533,1551,180+0,Time forfeit,41,21
Rated Blitz game,https://lichess.org/qtwBsgKy,2025.12.01,00:00:06,amritchhetri,Chess1604,1-0,1748,1697,180+0,Time forfeit,63,32
Rated Blitz game,https://lichess.org/aQQPBEOD,2025.12.01,00:00:06,Jorismartijn,mjchow,1/2-1/2,2139,2175,180+0,Normal,88,44
Rated Blitz game,https://lichess.org/0bwcARcr,2025.12.01,00:00:06,soroush_hejazi,td357,1-0,1829,1837,180+0,Normal,47,24
Rated Blitz game,https://lichess.org/muJHcj3n,2025.12.01,00:00:06,Asterstein,sugiartopolisi,1-0,1968,1980,180+0,Time forfeit,27,14
Rated Bullet game,https://lichess.org/3G148W3k,2025.12.01,00:00:06,obanna,PlannerY,0-1,1469,1445,60+0,Time forfeit,52,26
Rated Bullet game,https://lichess.org/84hLyAwO,2025.12.01,00:00:06,PAIKAN90,Muurka9911,0-1,1569,1328,60+0,Time forfeit,70,35
Rated Blitz game,https://lichess.org/0qyw4hvw,2025.12.01,00:00:25,RobinBelgium,ali_01b,1-0,1674,1695,180+2,Normal,43,22
Rated Blitz game,https://lichess.org/PaMNWnHG,2025.12.01,00:00:25,kamalist,CossettiRodriguez,1-0,1966,1955,180+2,Time forfeit,57,29
Rated Blitz game,https://lichess.org/1MioEuDL,2025.12.01,00:00:25,BlueMoon65,LaserMate,0-1,1532,1569,180+2,Normal,80,40
Rated Blitz game,https://lichess.org/uGOBndkW,2025.12.01,00:00:25,BagenoCR,futtersnacks,1-0,2012,1988,180+2,Normal,33,17
Rated Blitz game,https://lichess.org/7ZqbLw77,2025.12.01,00:00:25,Loort,Sf1801,0-1,1579,1671,180+2,Normal,32,16
Rated Blitz game,https://lichess.org/r9OMBxQV,2025.12.01,00:00:25,lupa18,mutebaskan419,0-1,974,918,180+2,Normal,48,24
Rated Blitz game,https://lichess.org/PfM1aWrB,2025.12.01,00:00:25,Beginners_Luck1,Dipsundar,1-0,1753,1787,180+2,Normal,57,29
Rated Blitz game,https://lichess.org/erVdZFh9,2025.12.01,00:00:25,Slowmindit,USCDepForm,1-0,2144,2135,180+2,Normal,131,66
Rated Blitz game,https://lichess.org/Sr12AIDo,2025.12.01,00:00:25,beefyisleafy,NicolasMatey,0-1,1386,1375,180+2,Normal,22,11
Rated Blitz game,https://lichess.org/11LXXsBX,2025.12.01,00:00:25,Nilikilor_Finch,ayazdogangulmurat,0-1,1515,1522,180+2,Normal,51,26
Rated Blitz game,https://lichess.org/cdrtrGL8,2025.12.01,00:00:25,RicoMascarinas,Quaisquer,1-0,2315,2294,180+2,Normal,87,44
Rated Blitz game,https://lichess.org/agimR8PM,2025.12.01,00:00:26,zielir,BananaVeloz,1-0,1279,1244,180+0,Normal,71,36
Rated Rapid game,https://lichess.org/gPaQIhZx,2025.12.01,00:00:26,koolkian,floyddreams,0-1,948,1220,600+5,Normal,116,58
Rated Blitz game,https://lichess.org/u3XuYQQN,2025.12.01,00:00:26,cbeshears14,afitterling,0-1,1013,982,300+0,Normal,74,37
Rated Blitz game,https://lichess.org/9bHsnABb,2025.12.01,00:00:26,GalickGun,viakondratiuk,0-1,1434,1436,300+0,Normal,80,40
Rated Blitz game,https://lichess.org/EtvPZrXR,2025.12.01,00:00:26,orang-outan,liencam2,0-1,1520,1542,300+0,Normal,48,24
Rated Blitz game,https://lichess.org/HydMmygv,2025.12.01,00:00:26,BethelBrown,Splash-Down,1/2-1/2,1250,1294,300+0,Normal,48,24
Rated Blitz game,https://lichess.org/J0Y8zXPj,2025.12.01,00:00:26,Thomas_94,DonnieBlue,0-1,1518,1449,300+0,Normal,20,10
Rated Blitz game,https://lichess.org/xWQLtccF,2025.12.01,00:00:26,Gop3k,ssuperssonic,0-1,878,1021,300+0,Normal,50,25
Rated Blitz game,https://lichess.org/5QAsJu3e,2025.12.01,00:00:26,OkoSu,jose_1993,0-1,1317,1339,300+0,Normal,106,53
Rated Blitz game,https://lichess.org/zxQHQd8J,2025.12.01,00:00:26,LauraSB,wmadarasz,0-1,1196,1221,300+0,Normal,50,25
Rated Blitz game,https://lichess.org/dHPBMAco,2025.12.01,00:00:26,Duru68,mayhem241,1-0,1707,1690,300+0,Normal,45,23
Rated Blitz game,https://lichess.org/tjZquy4w,2025.12.01,00:00:26,HorseyAttack,focasbebe,1-0,1345,1350,300+0,Normal,77,39
Rated Blitz game,https://lichess.org/soGI0esJ,2025.12.01,00:00:26,ionlyknowthelondon,aliizmit4161,0-1,1826,1753,300+0,Normal,14,7
Rated Blitz game,https://lichess.org/nKyTW1aY,2025.12.01,00:00:26,RelaxdaDI,jlpb,1-0,1632,1578,300+0,Normal,79,40
Rated Blitz game,https://lichess.org/IAAgrD9H,2025.12.01,00:00:26,Daniventure,JMV2024,0-1,1968,1962,300+0,Normal,46,23
Rated Blitz game,https://lichess.org/RCDQ3wOk,2025.12.01,00:00:26,esropa,MadDeezy4Sheezy,1-0,1766,1747,300+0,Normal,43,22
Rated Blitz game,https://lichess.org/Bt1shPFj,2025.12.01,00:00:26,javieryzarra,trikonya,0-1,1128,1135,300+0,Normal,58,29
Rated Blitz game,https://lichess.org/vuXVlxZp,2025.12.01,00:00:26,MakVamMat,abokhal,0-1,2311,2210,300+0,Time forfeit,134,67
Rated Blitz game,https://lichess.org/rlhpGcMM,2025.12.01,00:00:26,alexpb88,negri69,0-1,2258,2254,300+0,Normal,60,30
Rated Blitz game,https://lichess.org/KSLQdEQx,2025.12.01,00:00:26,Tonya_boy,HenningUlrich,1-0,2105,2109,300+0,Normal,63,32
Rated Rapid game,https://lichess.org/eYc7Z8PY,2025.12.01,00:00:26,SHIVA_KALI,magtheralejandro,0-1,1777,1773,600+0,Normal,34,17
Rated Rapid game,https://lichess.org/VtmDLzSK,2025.12.01,00:00:26,Vinchess12,bluerajaforks,0-1,1624,1645,600+0,Normal,56,28
Rated Rapid game,https://lichess.org/FLuSPX2p,2025.12.01,00:00:26,tarrasoeltablero,RockSolidChain,1-0,1561,1612,600+0,Normal,79,40
Rated Rapid game,https://lichess.org/Q6ijK4ZW,2025.12.01,00:00:26,valletta369,denis240890,0-1,1133,1063,600+0,Normal,90,45
Rated Rapid game,https://lichess.org/oiQcuIfG,2025.12.01,00:00:26,ShawnD113,haakie,0-1,1689,1689,600+0,Normal,80,40
Rated Rapid game,https://lichess.org/dPsexrXi,2025.12.01,00:00:26,Carquois,notlus,1-0,1725,1660,600+0,Normal,35,18
Rated Rapid game,https://lichess.org/6wpOlgI6,2025.12.01,00:00:26,yeyo_02,Fernando2923,1-0,1273,1237,600+0,Normal,65,33
Rated Rapid game,https://lichess.org/Lqj2b5fX,2025.12.01,00:00:26,binary117,Ch1nex,1-0,1500,1479,600+0,Normal,131,66
Rated Rapid game,https://lichess.org/qgZXtLCU,2025.12.01,00:00:26,dumbwayne17,Jijeshp,1-0,1273,1368,600+0,Time forfeit,9,5
Rated Rapid game,https://lichess.org/DMgu9mT2,2025.12.01,00:00:26,TS501832,novski,1-0,1860,1800,600+0,Normal,33,17
Rated Rapid game,https://lichess.org/1vRKA4k6,2025.12.01,00:00:26,Ancetre,GJ55507,0-1,1909,2004,600+0,Normal,60,30
Rated Rapid game,https://lichess.org/k1yoOlml,2025.12.01,00:00:26,lovelyholy,skucani,1-0,1713,1781,600+0,Normal,63,32
Rated Bullet game,https://lichess.org/8Mf9BdUZ,2025.12.01,00:00:26,amazingneo,CafNafPaneah,1-0,1360,1438,120+1,Normal,69,35
Rated Blitz game,https://lichess.org/tLtNHtrl,2025.12.01,00:00:27,helloppp,esjblau,0-1,1963,1906,180+0,Time forfeit,130,65
Rated Bullet game,https://lichess.org/t7FOWBDS,2025.12.01,00:00:27,ErdenayYege,knowdahway,1-0,1384,1255,60+0,Normal,27,14
Rated Bullet game,https://lichess.org/PVyhfq8I,2025.12.01,00:00:27,Equidna_117,Shadofn,1-0,1985,1930,60+0,Normal,69,35
Rated Bullet game,https://lichess.org/APqhtu3v,2025.12.01,00:00:27,teofrezcotablas,TudorBichis,1-0,2212,2195,60+0,Normal,41,21
Rated Bullet game,https://lichess.org/Yp56lCfL,2025.12.01,00:00:27,Rotssen,Syfrrh100,0-1,1235,1224,60+0,Time forfeit,52,26
Rated Bullet game,https://lichess.org/Gu2oqZPN,2025.12.01,00:00:27,munat,fatalerror11,0-1,2279,2375,60+0,Time forfeit,72,36
Rated Bullet game,https://lichess.org/GAgFO3uA,2025.12.01,00:00:27,Edmondgenc,BSteven247,1-0,2140,2178,60+0,Normal,71,36
Rated Bullet game,https://lichess.org/AkI3zoVA,2025.12.01,00:00:27,MeinKonf,Ellen4,1-0,2085,2107,60+0,Normal,57,29
Rated Bullet game,https://lichess.org/IT2G8GIe,2025.12.01,00:00:27,AnEnemyAnemone,GiDujSi,1-0,1196,1198,60+0,Time forfeit,35,18
Rated Bullet game,https://lichess.org/IoeFMIki,2025.12.01,00:00:27,Aom_Ine,DiegoIvan_117-Leo,0-1,1714,1698,60+0,Time forfeit,60,30
Rated Bullet game,https://lichess.org/A8ZKg8Qr,2025.12.01,00:00:27,Drunk-GM-to-be,JL18415,1-0,1786,1773,60+0,Normal,41,21
Rated Bullet game,https://lichess.org/LuSWotS0,2025.12.01,00:00:27,crownomore,jc_loiola,0-1,998,994,60+0,Normal,58,29
Rated Bullet game,https://lichess.org/qyKQK8MR,2025.12.01,00:00:27,ysf_brls,Girlpower13,1-0,1598,1605,60+0,Time forfeit,65,33
Rated Bullet game,https://lichess.org/v04AMDoJ,2025.12.01,00:00:27,Ketologe,silvio1975,1-0,1890,1856,60+0,Time forfeit,105,53
Rated Bullet game,https://lichess.org/DahhcwHb,2025.12.01,00:00:27,Lord_Anton,tobings,0-1,1496,1497,60+0,Time forfeit,66,33
Rated Bullet game,https://lichess.org/WT9v1xAI,2025.12.01,00:00:27,white_horse_82,fedvipszr,0-1,1418,1460,60+0,Normal,22,11
Rated Bullet game,https://lichess.org/EqcxFWWu,2025.12.01,00:00:27,Ferdelaluz,RishAvH24,0-1,1010,1099,60+0,Normal,32,16
Rated Bullet game,https://lichess.org/yUMsrxUn,2025.12.01,00:00:27,GambitoJavi,lavaducci,1-0,2089,2068,60+0,Normal,79,40
Rated Bullet game,https://lichess.org/qvPMEpYB,2025.12.01,00:00:27,carakura,Nineteathewonderful,1-0,1946,1948,60+0,Normal,89,45
Rated Bullet game,https://lichess.org/YaZLudSE,2025.12.01,00:00:27,dequalizer,stuee,0-1,1588,1577,60+0,Normal,26,13
Rated Rapid game,https://lichess.org/TthYfBeE,2025.12.01,00:00:40,Hamyltonbpa,Egezy,0-1,1722,1706,600+0,Time forfeit,114,57
Rated Rapid game,https://lichess.org/tQPCWTSo,2025.12.01,00:00:40,didnotseethatm,Vuvik,0-1,1407,1434,600+0,Normal,152,76
Rated Rapid game,https://lichess.org/tfINzFlI,2025.12.01,00:00:40,uurriieell,EtK5,0-1,1105,1109,600+0,Normal,52,26
Rated Bullet game,https://lichess.org/vD4XkVZD,2025.12.01,00:00:41,Eirikgg,veliminator,0-1,1069,1109,120+1,Normal,102,51
Rated Blitz game,https://lichess.org/Nz7QQRnr,2025.12.01,00:00:41,JK_universal,MadridisTaa96,0-1,1331,1317,180+0,Normal,33,17
Rated Blitz game,https://lichess.org/AGpg60cb,2025.12.01,00:00:41,GuroScott,FoxzHound,1-0,1337,1338,180+0,Normal,49,25
Rated Blitz game,https://lichess.org/8ZT5HTy4,2025.12.01,00:00:41,ccvvll,Zylender64,0-1,2120,2152,180+0,Normal,70,35
Rated Blitz game,https://lichess.org/XD5SGtTR,2025.12.01,00:00:41,Alberto161051,Talesmvr,1-0,1169,1112,180+0,Normal,69,35
Rated Blitz game,https://lichess.org/hlmMjygf,2025.12.01,00:00:41,mixypixy1904,massssod,1-0,2104,2110,180+0,Normal,41,21
Rated Blitz game,https://lichess.org/HfoP93VP,2025.12.01,00:00:41,gamer7800,T_fresh,0-1,1418,1416,180+0,Time forfeit,78,39
Rated Blitz game,https://lichess.org/deQ5jHF6,2025.12.01,00:00:41,freesilve,Shazwansulaiman,1-0,1365,1346,180+0,Time forfeit,87,44
Rated Blitz game,https://lichess.org/3QZie1M6,2025.12.01,00:00:41,crooos,xadrista1,1-0,1959,1932,180+0,Normal,63,32
Rated Blitz game,https://lichess.org/MmoYvJ3R,2025.12.01,00:00:41,MirkoRatto,Fraile,1-0,1992,2080,180+0,Normal,35,18
Rated Blitz game,https://lichess.org/7mPZdOCg,2025.12.01,00:00:41,GhGhsy,GilMaster18,1-0,1545,1467,180+0,Time forfeit,93,47
Rated Blitz game,https://lichess.org/s3VheTqb,2025.12.01,00:00:41,Rohay46,Volodya9009397374,1/2-1/2,1693,1700,180+0,Time forfeit,101,51
Rated Blitz game,https://lichess.org/wpFXooXc,2025.12.01,00:00:41,aplew,Weinkoenig,0-1,1015,1051,180+0,Normal,36,18
Rated Blitz game,https://lichess.org/C5wBDQ0U,2025.12.01,00:00:41,infantileplayer,nursaffiyahruzd,0-1,1917,1899,180+0,Normal,26,13
Rated Blitz game,https://lichess.org/qKFQarDG,2025.12.01,00:00:41,Kewin3,KawaiiKat1729,1-0,2266,2140,180+0,Normal,75,38
Rated Blitz game,https://lichess.org/2ro9jzM8,2025.12.01,00:00:41,pooka88,ARI-977,1-0,1274,1219,180+0,Time forfeit,65,33
Rated Blitz game,https://lichess.org/bF6X18Jx,2025.12.01,00:00:41,weloo1500,NiVaJune19,1-0,970,837,180+0,Normal,3,2
Rated Blitz game,https://lichess.org/F7KN1j5e,2025.12.01,00:00:41,NobleKnight72,BONANZAchessboss,0-1,1670,1604,180+0,Normal,98,49
Rated Blitz game,https://lichess.org/AFrT7Vfz,2025.12.01,00:00:41,aamendes,Ursu-15,1-0,1738,1714,180+0,Normal,77,39
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/BQIz5U6C,2025.12.01,00:00:41,devimon2400,MqRmI,0-1,1958,2055,180+0,Time forfeit,90,45
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/y8L8bKJh,2025.12.01,00:00:41,LordTavomanes,Zelmeira,1-0,1945,1932,180+0,Time forfeit,97,49
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/c3czHDf1,2025.12.01,00:00:41,Khumbutso,Caen_Grant,0-1,1915,1919,180+0,Normal,56,28
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/8GttI5eX,2025.12.01,00:00:41,Breizh73,Ikar2,0-1,1674,1729,180+0,Time forfeit,62,31
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/zQjuaxZo,2025.12.01,00:00:41,yuksel077,Yougerten,1-0,1845,1735,180+0,Abandoned,1,1
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/kXRIbmLI,2025.12.01,00:00:41,Altell07,heka84,0-1,1671,1652,180+0,Normal,104,52
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/9Wjh8ux4,2025.12.01,00:00:41,GZAGO,ALAYAMED11,0-1,1640,1639,180+0,Normal,30,15
Rated Blitz tournament https://lichess.org/tournament/5LfTEREn,https://lichess.org/uOmN2u68,2025.12.01,00:00:41,filbertfoxlcfc,Tricioelpatricio,0-1,1336,1559,180+0,Time forfeit,52,26
Rated Blitz tournament https://lichess.org/tournament/CyKPASuu,https://lichess.org/humpqaGF,2025.12.01,00:00:41,christian2002,Mpkjr12386,0-1,1990,1928,180+0,Normal,58,29
Rated Blitz tournament https://lichess.org/tournament/CyKPASuu,https://lichess.org/aZOoiVrF,2025.12.01,00:00:41,Faz007,jepot68,1-0,1901,1898,180+0,Time forfeit,125,63
Rated Blitz tournament https://lichess.org/tournament/CyKPASuu,https://lichess.org/c7UDQpWM,2025.12.01,00:00:41,saxsofonist_moscow,mirzabruins,1/2-1/2,1908,1919,180+0,Normal,136,68
Rated Blitz tournament https://lichess.org/tournament/CyKPASuu,https://lichess.org/37iKmrsh,2025.12.01,00:00:41,IveyPhil,sterlinginning,0-1,1904,1906,180+0,Normal,152,76
Rated Blitz tournament https://lichess.org/tournament/CyKPASuu,https://lichess.org/IZWGHimX,2025.12.01,00:00:41,kovigonik,alexjota,1-0,1891,1891,180+0,Time forfeit,63,32
Rated Blitz tournament https://lichess.org/tournament/CyKPASuu,https://lichess.org/2SjVjTHD,2025.12.01,00:00:41,Azcas363,rhyxz,0-1,1876,1869,180+0,Normal,50,25
